iD,country,tourists,years
1,Αυστρία,236476,2013
2,Βέλγιο,344553,2013
3,Βουλγαρία,691873,2013
4,Γαλλία,1152217,2013
5,Γερμανία,2267546,2013
6,Δανία,202477,2013
7,Εσθονία,8093,2013
8,"Ην. Βασίλειο",1846332,2013
9,Ιρλανδία,42575,2013
10,Ισπανία,91987,2013
11,Ιταλία,964315,2013
12,"Κροατία (2)",4381,2013
13,Κύπρος,399007,2013
14,Λεττονία,20282,2013
15,Λιθουανία,31873,2013
16,Λουξεμβούργο,20497,2013
17,Μάλτα,1493,2013
18,Ολλανδία,580867,2013
19,Ουγγαρία,80622,2013
20,Πολωνία,385473,2013
21,Πορτογαλία,13303,2013
22,Ρουμανία,278873,2013
23,Σλοβακία,46260,2013
24,Σλοβενία,18689,2013
25,Σουηδία,368834,2013
26,Τσεχία,286974,2013
27,Φινλανδία,139340,2013
28,Αλβανία,504809,2013
29,Ελβετία,346518,2013
30,Νορβηγία,264815,2013
31,Ισλανδία,1577,2013
32,Ρωσία,1352901,2013
33,"Σερβία ",778765,2013
34,"Λοιπά Κράτη Ευρώπης",2003784,2013
35,NULL,1213148,2013
36,Ιαπωνία,13141,2013
37,Ιράν,5242,2013
38,Ισραήλ,212466,2013
39,Κίνα,28328,2013
40,"Λίβανος - Συρία",36591,2013
41,"Ν. Κορέα",7307,2013
42,Τουρκία,831113,2013
43,"Λοιπά κράτη Μ. Ανατολής",32220,2013
44,"Λοιπά κράτη Ασίας",46738,2013
45,NULL,30905,2013
46,"Αίγυπτος - Σουδάν",4036,2013
47,"Νοτιοαφρικανική Ενωση",17644,2013
48,"Λοιπά κράτη Αφρικής",9223,2013
49,NULL,754487,2013
50,Αργεντινή,25488,2013
51,Βραζιλία,27354,2013
52,Μεξικό,19862,2013
53,Η.Π.Α.,466519,2013
54,Καναδάς,186701,2013
55,"Λοιπά κράτη Αμερικής",28560,2013
56,NULL,142641,2013
57,Αυστραλία,129111,2013
58,"Λοιπά κράτη Ωκεανίας",13530,2013
