iD,country,tourists,years
1,Αυστρία,285131,2014
2,Βέλγιο,409197,2014
3,Βουλγαρία,1534564,2014
4,Γαλλία,1463157,2014
5,Γερμανία,2459227,2014
6,Δανία,240418,2014
7,Εσθονία,30551,2014
8,"Ην. Βασίλειο",2089528,2014
9,Ιρλανδία,69531,2014
10,Ισπανία,136231,2014
11,Ιταλία,1117711,2014
12,"Κροατία (1)",21888,2014
13,Κύπρος,448342,2014
14,Λεττονία,31084,2014
15,Λιθουανία,57889,2014
16,Λουξεμβούργο,18448,2014
17,Μάλτα,3701,2014
18,Ολλανδία,657338,2014
19,Ουγγαρία,89063,2014
20,Πολωνία,588711,2014
21,Πορτογαλία,14206,2014
22,Ρουμανία,543359,2014
23,Σλοβακία,61826,2014
24,Σλοβενία,26698,2014
25,Σουηδία,337770,2014
26,Τσεχία,347623,2014
27,Φινλανδία,166251,2014
28,Αλβανία,488098,2014
29,Ελβετία,377076,2014
30,Νορβηγία,246135,2014
31,Ισλανδία,3528,2014
32,Ρωσία,1250174,2014
33,"Σερβία ",985660,2014
34,"Λοιπά Κράτη Ευρώπης",2876915,2014
35,NULL,1411665,2014
36,Ιαπωνία,18698,2014
37,Ιράν,752,2014
38,Ισραήλ,197009,2014
39,Κίνα,47482,2014
40,"Λίβανος - Συρία",31793,2014
41,"Ν. Κορέα",13387,2014
42,Τουρκία,976758,2014
43,"Λοιπά κράτη Μ. Ανατολής",45622,2014
44,"Λοιπά κράτη Ασίας",80161,2014
45,NULL,49043,2014
46,"Αίγυπτος - Σουδάν",9063,2014
47,"Νοτιοαφρικανική Ενωση",24679,2014
48,"Λοιπά κράτη Αφρικής",15300,2014
49,NULL,890318,2014
50,Αργεντινή,32605,2014
51,Βραζιλία,52217,2014
52,Μεξικό,20479,2014
53,Η.Π.Α.,591852,2014
54,Καναδάς,145720,2014
55,"Λοιπά κράτη Αμερικής",47443,2014
56,NULL,205386,2014
57,Αυστραλία,183080,2014
58,"Λοιπά κράτη Ωκεανίας",22306,2014
