iD,country,tourists,years
1,Αυστρία,310357,2011
2,Βέλγιο,432624,2011
3,Βουλγαρία,686208,2011
4,Γαλλία,1149388,2011
5,Γερμανία,2240480,2011
6,Δανία,244985,2011
7,Εσθονία,9862,2011
8,"Ην. Βασίλειο",1758092,2011
9,Ιρλανδία,58939,2011
10,Ισπανία,154773,2011
11,Ιταλία,938231,2011
12,Κύπρος,439756,2011
13,Λεττονία,7846,2011
14,Λιθουανία,13665,2011
15,Λουξεμβούργο,28474,2011
16,Μάλτα,1368,2011
17,Ολλανδία,560722,2011
18,Ουγγαρία,69755,2011
19,Πολωνία,450617,2011
20,Πορτογαλία,34641,2011
21,Ρουμανία,223699,2011
22,Σλοβακία,41788,2011
23,Σλοβενία,31130,2011
24,Σουηδία,333905,2011
25,Τσεχία,309061,2011
26,Φινλανδία,167632,2011
27,Αλβανία,411245,2011
28,Ελβετία,361404,2011
29,Νορβηγία,226627,2011
30,Ισλανδία,0,2011
31,Ρωσία,738927,2011
32,"Σερβία - Μαυροβούνιο",692058,2011
33,"Λοιπά Κράτη Ευρώπης",1523236,2011
34,NULL,882643,2011
35,Ιαπωνία,10124,2011
36,Ιράν,8747,2011
37,Ισραήλ,226110,2011
38,Κίνα,15837,2011
39,"Λίβανος - Συρία",4916,2011
40,"Ν. Κορέα",1845,2011
41,Τουρκία,552090,2011
42,"Λοιπά κράτη Μ. Ανατολής",18398,2011
43,"Λοιπά κράτη Ασίας",44571,2011
44,NULL,38450,2011
45,"Αίγυπτος - Σουδάν",4675,2011
46,"Νοτιοαφρικανική Ενωση",21981,2011
47,"Λοιπά κράτη Αφρικής",11793,2011
48,NULL,719660,2011
49,Αργεντινή,13834,2011
50,Βραζιλία,52118,2011
51,Μεξικό,5531,2011
52,Η.Π.Α.,484707,2011
53,Καναδάς,142286,2011
54,"Λοιπά κράτη Αμερικής",21182,2011
55,NULL,134979,2011
56,Αυστραλία,115902,2011
57,"Λοιπά κράτη Ωκεανίας",19077,2011
58,"Μη προσδιορίσιμες χώρες ταξιδιωτών",0,2011
